title	category	speaker	date	url	times
关于外国文学研究的观念与方法更新问题	含弘讲坛	刘建军教授	2019-05-27	/seeyon/xndxNewsData.do?method=userView&id=L3RSblpuYjJJR08rb2tVZ2NQWDBSZGF4RW1YSmxTTDc=	853
从翻译看中日语言文化的差异	含弘讲坛	徐一平（北京外国语大学教授）	2019-05-16	/seeyon/xndxNewsData.do?method=userView&id=MVhpSW1VNHdkNzEyUFppRUFSY3lKNGRsNmNwMDg3a04=	655
文学评奖与文学史评价	含弘讲坛	刘川鄂教授	2019-05-27	/seeyon/xndxNewsData.do?method=userView&id=bDM4dzdBY2l0MXAxSHRsMDNCWEVSVitlb1F0MTM3aFU=	710
药用天然产物的全合成：从合成方法、策略到疾病的药物新靶点	含弘讲坛	Mingji Dai （美国普渡大学 副教授）	2019-05-16	/seeyon/xndxNewsData.do?method=userView&id=T3c5VWFNTW9KREtXV0hRWkxJa0V5K3Y3ellmY0Z2THE=	411
稀土二氧化铈催化材料“电子储存器”效应的理论研究	含弘讲坛	龚学庆  教授	2019-05-13	/seeyon/xndxNewsData.do?method=userView&id=bTlESGhEdkl0N0ZwMXJ5a05CeW51SlFrbXRRNWc5L0Q=	493
深空探测视野下的地球和宇宙	含弘讲坛	郑永春，教授，中国科学院天文台	2019-05-18	/seeyon/xndxNewsData.do?method=userView&id=aDJ2TmYzL3V2MUZULzEraGlDYTNUdlBGbk5tWmVJUzU=	604
“权力分置”型跨界治理模式探讨——基于河北燕郊、上海洋山港两个案例	含弘讲坛	王勇	2019-05-13	/seeyon/xndxNewsData.do?method=userView&id=bHkxL3pBSTVxTFNtYXdEQ0I5VHgvbVREYmFDWjZZaTU=	574
计算思维与可视化编程在基础信息技术课程中的实践	含弘讲坛	美国亚利桑那州立大学(Arizona State University, ASU) 陈以农 博士	2019-05-28	/seeyon/xndxNewsData.do?method=userView&id=a2ZhcnBCOW04NWdaVmFGc3puOXpuYWVoRDc3b2hJM3g=	787
照片记忆与重庆近代历史研究	雨僧讲坛	蓝勇教授	2019-05-27	/seeyon/xndxNewsData.do?method=userView&id=ZVQ4NEpGelFZOFpPS0tyV0lpanVvenB2cFB5ZkFQai8=	740
膨胀的宇宙	含弘讲坛	Michael Smith 教授	2019-05-13	/seeyon/xndxNewsData.do?method=userView&id=RmRueEZ4b2VVS2JwL3doejVKTnpIMG5tcDQ1SGJDMFU=	661
清热解毒中药的药效物质基础与作用机制	含弘讲坛	陈道峰	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=TTNZMmtzNmVBa1FoemtLSEVBTGVkRnNSc2xocGVUR0M=	630
“施-受-动”主谓谓语句探究	光大讲坛	陆俭明教授	2019-05-24	/seeyon/xndxNewsData.do?method=userView&id=bzZldUdhbkRXeExFRmZxQS9RRmFrUlRkS1hQR2tkbDM=	506
“自然人权利能力不得放弃”之错误命题的浮沉	含弘讲坛	徐国栋教授 法学博士、厦门大学法学院教授、国际民商法研究方向博士生导	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=T3hrUmZzd1JvbEVmZ3JWaTJybDYxaHZGOXRUSVRQak0=	581
系统发生学揭示汉藏语系起源	学行讲坛	Guillaume Jacques（中文名：向柏霖）法国国立科学中心（CNRS）首席研	2019-05-16	/seeyon/xndxNewsData.do?method=userView&id=UWFXN0thZTZjZ2tkV1U3dGNXdS9JWDUrVTZpdG5ubGY=	324
配体保护的贵金属团簇的拓扑和电子结构性质的理论研究	含弘讲坛	裴勇 教授	2019-05-15	/seeyon/xndxNewsData.do?method=userView&id=YmV5WWhsN1I5cERJMDNhUEZmNXVrRGxoKzNzRWs1T2c=	254
谈谈我对几首古诗的解读	学行讲坛	孙玉文教授，北京大学	2019-05-16	/seeyon/xndxNewsData.do?method=userView&id=S0JxWEdUUjg4bnk5dmZjL2tCSHBhdHNNYXY1dTBrRzY=	664
从系统建构到结构重组---谈汉碑文字的重要地位	学行讲坛	王立军教授 北京师范大学	2019-05-21	/seeyon/xndxNewsData.do?method=userView&id=a0pkOExsdmxkZzhNODYxeWovdENQSERGbFRldTEyeFk=	417
语言复杂系统中单位与规则的泛时性	雨僧讲坛	陈保亚教授	2019-05-13	/seeyon/xndxNewsData.do?method=userView&id=ZzV6L1h1L2tlZlhwekdQYk5ONGVzU3BicU44U3VXSzA=	654
改革开放四十年文学研究的变与不变	雨僧讲坛	刘跃进教授	2019-05-13	/seeyon/xndxNewsData.do?method=userView&id=RUFzWkMzcHJ6aTc2S0lOUmluU0hLY21xZXc2RHAyRE8=	680
西南大学含弘科技论坛药学院分论坛	含弘讲坛	李敏勇 （山东大学）	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=M2tQQ0VTRkY5b3dpN1ZyeG4zT1NhYndiODRyOVhZdEQ=	473
美国林木遗传育种研究进展	含弘讲坛	杨传平教授（东北林业大学原校长）	2019-05-09	/seeyon/xndxNewsData.do?method=userView&id=b3ZQV1c0cEg2d2pEUDMyQzUyQmlOVHRpekU5Wk9iUjc=	259
当前高校实验室安全形势与管理要求	含弘讲坛	赵建新，博士，教授，江南大学	2019-05-08	/seeyon/xndxNewsData.do?method=userView&id=VHdtSWxTZ1dWTFBzejNTWk4vMDBNbDhQRUtVbGZXdW8=	318
修昔底德与我们	雨僧讲坛	任军锋教授	2019-05-05	/seeyon/xndxNewsData.do?method=userView&id=UnpWcnhEd3VXalBUQ2hKRjNCTExWbS9FaEV3TlNuaWI=	837
功能性纤维素纳米线基多孔材料的构筑及其性能研究	含弘讲坛	李营战	2019-05-06	/seeyon/xndxNewsData.do?method=userView&id=WXlYMHBITEI4aG9vWDByUXM0cFpXTW9DS3o4UDQwVkY=	594
汉字汉语与中华传统文化	雨僧讲坛	王宁教授	2019-05-05	/seeyon/xndxNewsData.do?method=userView&id=NHIxSk45WC9hT2JiUkg3L3UxQWdUVkM1ZUk0dXJqWG4=	999
柔性可降解医疗传感器	含弘讲坛	程寰宇 博士，美国宾州州立大学助理教授	2019-04-28	/seeyon/xndxNewsData.do?method=userView&id=dmdPUWFReHJ0V3dqWUZ2WXRTUWRPK0w0MHR4UXIxZVg=	648
学风专题报告	含弘讲坛	杨传平教授	2019-04-28	/seeyon/xndxNewsData.do?method=userView&id=TVIzUFJ1R3I5ZFlYcFdOV0t4UGxEUXhENmVYaUc0cWM=	761
采用新型创新技术—高压脉冲(PEF)预处理对食品进行干燥	含弘讲坛	刘采云	2019-05-10	/seeyon/xndxNewsData.do?method=userView&id=amVTR09neEVDeWw3R1JkeWpib2FPWlZ2bExNYi9pOVU=	229
水滑石基纳米光催化材料合成太阳燃料和高附加值化学品	含弘讲坛	张铁锐 教 授	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=b2tFMTc5UUMwcWNUY3FZa2VBQUtJY1h3UVNLSVNvejg=	542
西南大学前沿交叉学科研究院生物学研究中心学术讲座	含弘讲坛	顾磊，博士，哈佛医学院讲师	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=K1ZRSmVubnNMamRQMVNsRHVRK0dYZTJ1U0p2ZExJc1g=	904
生物质大分子构建新功能材料	含弘讲坛	张俐娜 院士	2019-04-24	/seeyon/xndxNewsData.do?method=userView&id=a284emdnT0tmVE95a0lsVnV3d0RGSEtETllxd2xORWU=	1838
工业控制系统的网络安全：漏洞，针对性攻击和挑战	含弘讲坛	Shamsul Huda博士	2019-04-25	/seeyon/xndxNewsData.do?method=userView&id=SWtYNnhJL1VpUnFvNlBxdUlacjkya2NyVXBjaVNZTW4=	570
超分子配位自组装及发光和生物医药功能	含弘讲坛	暨南大学  李丹	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=ZGtDRjN2SUJRZFR6N1JUVW41eFJKeW5DMGNJTitKTm4=	580
网络数据及数据工程化研究	含弘讲坛	柳诚飞教授, 澳大利亚Swinburne科技大学	2019-04-24	/seeyon/xndxNewsData.do?method=userView&id=UUFlSG5Pd2RXMkM2Mnc4OXFZWCtZQTQ1UnVmQXNuK3E=	638
永和九年——翰墨流传知几许	雨僧讲坛	吴  姝	2019-04-12	/seeyon/xndxNewsData.do?method=userView&id=ajVNSmgvdWlrR1JJUDJEb05JNFliOE1pSEtIc0paMmY=	821
用“科技哲学”去“解放思想”	雨僧讲坛	吴建国教授	2019-04-22	/seeyon/xndxNewsData.do?method=userView&id=c3FteDFodHpFZ3YxWnBkVVU5RzdieVRoLzgwMFRJMGE=	717
信息物理系统（Cyber-Physical Systems，CPS）延迟性能分析及信息安全	含弘讲坛	杨欢	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=eGVHbDZWL1Jtcy96dGN6NmlxbUhsUEZockF1eDR4aFg=	398
再议当代隐喻学在中国（2014-2018）——一项基于CSSCI外国语言学来源期刊的文献计量研究	含弘讲坛	孙毅（西安外国语大学教授）	2019-04-23	/seeyon/xndxNewsData.do?method=userView&id=OFR2aXAzeDZzUU1iM1M0dytud1VKdnBvNE5ad1g4Z1o=	709
翻译中国----内容、原则和方法	含弘讲坛	武波（外交学院教授）	2019-04-12	/seeyon/xndxNewsData.do?method=userView&id=WWwrRkxkYXBVS3B3dVJ5TTNQeGJ4S2VtTmZ1bVVGeS8=	594
社会建构论与社会理论的新发展	含弘讲坛	山东大学 林聚任 教授	2019-04-22	/seeyon/xndxNewsData.do?method=userView&id=L3Vpeit5WCtlYWRMbWtkNlVDTFBZTVdFeTBySTBYQTk=	680
可量化的数据可视化	含弘讲坛	汪云海 教授 山东大学	2019-04-10	/seeyon/xndxNewsData.do?method=userView&id=THAwN09SL1dWK2dnVnR3VGRSVW1EUWEvTkpUdHN4b2w=	585
系统错误率评估技术HEART在医疗领域中的应用定性与定量分析以及解决方案	含弘讲坛	赫颖	2019-04-10	/seeyon/xndxNewsData.do?method=userView&id=QzhXaWNSVjN0N0NHd3MzamZ4SWlmdlozK1VHQVNtR1E=	537
乡论与秩序：先秦汉魏民间舆论与国家关系的历史考察	光大讲坛	中国社会科学院历史研究所所长卜宪群教授	2019-04-17	/seeyon/xndxNewsData.do?method=userView&id=d2VOb3dMOTZndGg2VHJBUnVER2lBSVZCSWx4V0JvYjQ=	629
脑科学与有效教学	含弘讲坛	周加仙研究员	2019-04-09	/seeyon/xndxNewsData.do?method=userView&id=NGQzRFRSYXhXUEtPQWduMmN0Z2I0cDZ6YkM5YnVlOTU=	541
材料与能源学院功能陶瓷讲座交流	含弘讲坛	陈骏教授、博导（北京科技大学）	2019-04-10	/seeyon/xndxNewsData.do?method=userView&id=aW94SFBIN3NSYkpNTGZCaFZrYXZSR3lWZWZEYkRuMzM=	494
环境友好和抗菌纤维基材料制备与应用	含弘讲坛	肖惠宁，院士、 教 授，加拿大新布朗斯克大学	2019-05-05	/seeyon/xndxNewsData.do?method=userView&id=VGE5NXhIL2FYUkZFZUo5d2ZLUWZvTk9veVFrSi94TnU=	425
战争与和平—寄生杂草Striga gesnerioides和豇豆Cowpea的互作动态研究	含弘讲坛	Michael Paul Timko教授 博导 (美国弗吉尼亚大学)	2019-04-15	/seeyon/xndxNewsData.do?method=userView&id=NldWV2RaUHpHQzFMak1qNVh3M015L2lkYVc2UWVpYUs=	778
第十一届全国科学计量学与科教评价研讨会	含弘讲坛	邱均平，杭州电子科技大学资深教授、院长、博士生导师	2019-04-25	/seeyon/xndxNewsData.do?method=userView&id=K1FwSGxFUldZSFNubFg3UlkvN0NaT3NZU1E2QWZsMVY=	505
功能主义翻译理论视阈下的中译日研究与实践	含弘讲坛	修刚（天津外国语大学教授）	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=Y0x3U2FDQlZHSThKR3V2cTBtWnZFY05LSE9aYVRsN0s=	527
《说文解字》与文献文字学	光大讲坛	北京师范大学文学院 王宁教授	2019-04-29	/seeyon/xndxNewsData.do?method=userView&id=S3RuV0w2aytiVzhEd09Kc0prSUJ0YTgrbk9ZSzhMN04=	1094
中日二语间的口译和同声传译的训练法	含弘讲坛	宋协毅（大连大学教授）	2019-04-19	/seeyon/xndxNewsData.do?method=userView&id=Q1JDdkpleEhUS29nZXNLR3lTbEtpUzZHdEV4VWg5VXE=	494
纳米医学测量学系列学术报告	含弘讲坛	张玉奎院士  中科院大连化学物理研究所	2019-04-25	/seeyon/xndxNewsData.do?method=userView&id=Z1FMZmdrWnptbW80OXpYMzNZQ0JPSWxEOFlMZlpodmg=	597
西南大学第五届含弘青年学者论坛动物科技学院分论坛	含弘讲坛	李志勇	2019-04-20	/seeyon/xndxNewsData.do?method=userView&id=ZUFjZUZLb0puVHZ6YThNd0ZTbmNGNmo5OFNqYjZ5UzY=	941
阅读的生态	含弘讲坛	陈永国（清华大学教授）	2019-04-09	/seeyon/xndxNewsData.do?method=userView&id=M0NWbWUzUGViS3lNVGZzWm5ETjAwM0RKenQ5d3hDK3Q=	621
学术论文写作的难点与破解	雨僧讲坛	杨善华教授	2019-04-08	/seeyon/xndxNewsData.do?method=userView&id=c3pmZ1ZGQmxKTTRHYWVaY3pOdXoxZ3BUdWdVQXVmb3c=	808
回到马克思：《资本论》的重新解读	含弘讲坛	郭冠清（中国社会科学院研究员）	2019-03-27	/seeyon/xndxNewsData.do?method=userView&id=RW1PMlJWNnlqRFhRa2l5TDdJalFqejRjLzcxMi9uMHI=	1455
第五届中国“互联网+”大学生创新创业大赛宣讲	含弘讲坛	王晓明	2019-04-09	/seeyon/xndxNewsData.do?method=userView&id=VDFLRVc3QlhxNEUrUEZFaElDbkhwdTRvSStZc0NXaVk=	537
  科协学术讲堂	含弘讲坛	宋宝安 院士、教授 (贵州大学)	2019-04-09	/seeyon/xndxNewsData.do?method=userView&id=U3Q0LzdwYzhFMG1ka0hrUnJMMlpvTTc1eC93Njd1NlM=	399
植/介入型两性离子化生物医用材料	含弘讲坛	沈健教授	2019-03-29	/seeyon/xndxNewsData.do?method=userView&id=OVFWeGlMN2ZWcU1jbHNXY2RkYnBVVFRzNTlWRXQzUkc=	546
从宋代文人政治解读苏轼	雨僧讲坛	张文 教授	2019-03-25	/seeyon/xndxNewsData.do?method=userView&id=dDVLeGVSRGUyVDViWkNEWnZ2d2lUb01Wc1N6enhoOTE=	1130
		阴悦（美国伊利诺伊大学芝加哥分校教育学院教育心理系副教授）		/seeyon/xndxNewsData.do?method=userView&id=cTRNU1cxdjBhbjF5STc5aFpnRjU3anpEN0JhcjJteEI=	474
赋权增能型英语教学中的全人教育实践	含弘讲坛	张文忠（南开大学教授）	2019-04-09	/seeyon/xndxNewsData.do?method=userView&id=V040THptRkpJZHp6dVhacnAvT2lHaG16cWRuYnlXbnk=	463
		孙智伟教授		/seeyon/xndxNewsData.do?method=userView&id=ODhFSUFwYWw1LzB6RzVXM0p2SFA4dG9sSVdSUDJPZEQ=	602
西南大学第五届含弘青年学者论坛经济管理学院分论坛	含弘讲坛	史杨焱	2019-03-25	/seeyon/xndxNewsData.do?method=userView&id=MW16cGw2ZEp2Ylh6ZDZMVCtTbUVHSzY4OXAzcVVZbnk=	775
 涉己信念属性的标记和新格莱斯语用学：西非语言中的视点内指词语和东亚、南亚以及东南亚语言中的长距离反身代词	含弘讲坛	黄衍（奥克兰大学教授）	2019-04-03	/seeyon/xndxNewsData.do?method=userView&id=SHEraU1OSklqM3RUdzdBNmdyZEczWCtsb3pGNXNpQjA=	376
西南大学第五届含弘青年学者论坛药学院分论坛	含弘讲坛	林海双  博士	2019-03-25	/seeyon/xndxNewsData.do?method=userView&id=aVJxanI4dXQvc2hyL3dnWHBmeFZKYVpLYWV6MXNjQlE=	736
西南大学第五届含弘青年学者论坛电子信息工程学院分论坛	含弘讲坛	张学波	2019-03-22	/seeyon/xndxNewsData.do?method=userView&id=RzlZK2ZBVVc4SXBRTEVxeDNhbkRXUnYzcS9LNzM4Q0o=	532
中国哲学史的典范之作——冯友兰《中国哲学史》导读	雨僧讲坛	高秀昌教授	2019-03-12	/seeyon/xndxNewsData.do?method=userView&id=UmNrUUVLTTBkTmR1S3JLYkVQMUJXakhCY2tmSm5DWE4=	1021
西南大学第五届青年学者含弘科技论坛地理科学学院分论坛	含弘讲坛	陈有华 中科院成都生物研究所	2019-03-25	/seeyon/xndxNewsData.do?method=userView&id=YW96OWl3NUxtRDMrMlpuM2UxTU5HbEEzMFNZWDB0eng=	633
西南大学第五届含弘青年学者论坛生物学研究中心分论坛	含弘讲坛	张从刚 博士，美国德克萨斯大学西南医学中心博士后研究员	2019-03-22	/seeyon/xndxNewsData.do?method=userView&id=c3htY1F4eFY0Y05nK0pvMWhhYkplZTZHdjJXTG5VY24=	636
