company,city,edu,resumeCount,salary,jobName,detail
河南聚云客网络科技有限公司,郑州,不限/不限,7,6K-8K,大数据网络销售（4k+双休+奖金福利）,技能要求：售前支持，售后支持，销售顾问，营销，软件销售任职要求：1、具有良好的沟通能力和语言表达能力；2、学习能力强，能不断的学习进步；3、有无销售经验均可。岗位职责：1、网络上及时与客户沟通，维护客户关系；2、对公司产品进行网络推广和销售 ；3、按时参加公司组织的专业培训，提升自身能力；4、完成上级安排的其他工作。福利待遇：1．底薪3K+高提成+奖金（周奖+月奖+年终奖）人均月薪6000+，月薪过万不是梦，销冠记录等你破！2．广阔的发展空间：销售代表--销售主管--销售经理--销售总监，另有横向发展，提供转岗机会。3．依照国家规定为员工享有带薪年假、产假、婚丧假，享受国家规定的法定节假日、节日补贴礼品或奖金；4．享受公司提供的活动经费、员工生日party、参加公司聚餐、定期旅游、唱K、拓展活动、周年晚会！工作时间:9:00-12:00  14:00-18:30，朝九晚六，每天8小时，单双轮休，法定节假日带薪休假。联系人：郭老师  15225190341工作地址：郑州市金水区金水路与玉凤路浦发国际金融中心（名门地产）2301室
深圳市联影医疗数据服务有限公司,深圳-龙岗区,大专/5-10年,10,15K-25K,医疗大数据开发组长,"岗位职责：1、负责规划公司大数据技术发展路线、制定大数据平台基础平台的技术架构设计、制定技术规范、完善开发流程，打造医疗大数据平台；2、和产品团队深入合作，解决在业务发展中遇到的产品和平台架构问题，并对现有的大数据平台进行优化；3、对数据业务或医疗业务有一定的理解能力，能够将业务的思路融入到数据产品的规划和设计上；4、基于医疗行业数据,挖掘数据价值，负责实现各类病历档案、数据源整合，监控预测和平台类数据产品;5、分配工作任务，培训团队成员，并进行技术分享保持团队对相关技术的理解和普及。岗位要求：1、5年以上大数据研发经验，对Linux操作系统熟练掌握，熟悉shell脚本编程和大数据开发编程（Java, Python）；2、对Hadoop生态圈有深刻理解，掌握Map/Reduce、HBASE、HIVE、Spark中两种以上开发技术，并有实际产品的上线应用；3、具备医疗行业信息化产品或者研发领域行业经验优先；4、具有清晰的系统思维逻辑，对大数据架构设计与核心部件开发以及业界新技术追踪有浓厚兴趣；5、有良好的项目落地和推动能力、能够跨团队组织、推动项目落地，有大数据团队管理经验优先；6、良好的沟通和分析问题与解决问题能力。"
网聚海数(杭州)数据科技有限公司,杭州,本科/1-3年,9,10K-15K,大数据开发工程师,岗位职责：1.负责运营商数据分析平台、精准营销系统的设计和开发；2.负责运营商数据仓库ETL的开发，以及相关数据产品的设计与开发；3.负责用户画像相关工作。任职资格：1.具有数据仓库相关开发经验，如ETL，建模等，熟悉数据仓库模型；2.熟练应用主流关系型数据库，精通SQL，有一定的SQL编写和优化调优经验；3.有用户画像模型构建经验者优先，有数据分析产品开发经验者优先；4.对数据领域技术栈：Hbase，HADOOP，spark，hive等技术熟悉，以及对各种数据处理算法感兴趣者优先；5.至少熟悉JAVA/SCALA/PYTHON中的一种，接触、了解过运营商数据优先；6.良好的沟通能力及团队合作精神，耐心细致，责任心强，能承受较大的工作压力。
深圳市联影医疗数据服务有限公司,深圳-南山区,本科/1-3年,33,9K-15K,大数据开发工程师,"岗位职责：1、通过对业务和数据调研，进行数据模型（数据仓库）设计，协同产品开发，数据分析团队进行开发工作。2、负责医疗卫生大数据平台的部署、开发和维护；3、利用医疗卫生大数据平台实现对数据的抽取、清洗、转换，分析、处理、挖掘；4、完成开发文档、项目实施维护文档等材料撰写；5、保证所负责项目的交互质量，达到质量考核要求。岗位要求：1、计算机本科及以上学历，2年及以上Linux/Unix系统下数据相关开发经验。2、熟悉shell,python等脚本语言。熟悉MYSQL或其他大型数据库，有一定SQL编码及调优经验，熟悉java,Scala等语言更优。3、熟悉Hadoop，Spark，Storm等大数据计算框架以及TensorFlow，pytorch等深度学习平台，有海量数据处理经验。有用户画像和知识图谱相关积累。4、具备医疗行业信息化产品或者研发领域行业经验优先。5、自我驱动力强、有高度责任心和团队合作精神。"
北京卓思天成数据咨询股份有限公司,北京-朝阳区,本科/3-5年,13,15K-25K,研究经理（大数据营销方向）,岗位职责：该岗位主要从事汽车行业相关的大数据研究咨询服务，并协助完成研究成果的平台化开发：1. 主要从事大数据角度的汽车个案研究尤其是消费者研究工作； 2. 担任中小型项目的项目经理，在项目总监的带领下保证项目顺利推进并高效完成； 3. 高度参与整个项目过程，从项目设计、进度管理、质量控制到数据分析和报告撰写，并能独立负责部分环节； 4. 协助完成项目研究成果的网络平台开发；5. 参与竞标，能够在项目总监辅助下参与计划书及报告的演示和讲解；6. 参与公司流程/体系的创新与完善，以及新产品及服务的开发；7. 关注行业动态，撰写行业分析文章。任职要求：1. 3年以上汽车行业市场研究咨询经验，有大数据研究经验者优先； 2. 有外资汽车品牌服务经验者优先；3．出色的中、英文书面及口头表达能力，良好的沟通及跨部门协作能力，能高效地解决问题； 4. 学习能力强，愿意接受新事物和新挑战； 5. 思维敏捷，做事认真，对数据敏感；6. 积极主动，自信，乐观，勇于承担责任，抗压能力强。
深圳商道卓越投资服务有限公司,长沙-芙蓉区,大专/不限,1,8K-10K,大数据算法实习生,实习岗位，欢迎优秀应届毕业生投递简历入职要求：1、18-26岁，专业不限，大专及以上学历者优先2、需对计算机、游戏开发、设计、网站建设有兴趣3、有一定的逻辑思维，会简单电脑操作4、面试通过，直接上岗，无经验者，人品优秀可先带薪实习后上岗岗位职责：1、软件开发/设计等相关专业大专或以上学历；2、具有一定的C/C 语言基础，掌握数据结构相关知识；3、熟练操作Windows、Office等办公软件；4、善于学习，深入了解嵌入式系统软件及开发环境；5、具有良好的编码习惯，编写结构清晰、命名规范、逻辑性强、代码效率高；6、深入理解软件工程思想；7、具有良好学习能力和团队合作精神。福利待遇：1、周末双休，每天7小时上班时间，无夜班，不加班。2、大量有奖金项目可做，能力强者可不限量接受奖金项目，3、公司为员工购买五险一金，定期组织员工生日会、野外游玩等活动，提供良好的晋升机制，广阔的提升空间。
广州找原料电子商务有限公司,广州-白云区,大专/1-3年,1,10K-15K,大数据资深售前顾问（双休+六险一金）,需求企业：某国内IT，互联网，大数据等领域高科技领军企业。主要业务产品为云计算、大数据集成系统、智慧城市等；岗位职责：1、了解业界主流大数据产品，大数据生态，了解市场大数据的典型应用场景，配合销售进行产品宣讲和解决方案展示；2、理解目标市场，搜集市场信息，分析需求和行业趋势，包括但不限于涵盖政府、快消品运营商、金融等行业的大数据典型应用场景；3、为客户提供大数据解决方案，满足客户需求，主导项目的技术方案部分，完成项目策划、招投标等前期工作。任职要求：1、2年以上大数据方案咨询或项目经理经验；2、具备优秀的沟通协调能力和方案撰写、演示能力；3、具有较好的客户需求理解能力、出色的表达沟通能力和售前讲解能力，逻辑结构强，善于挖掘和引导客户需求，能独立撰写演示文档、技术及服务方案等文档。公司福利：1、六险+公积金：入职后购买六险一金2、节假日：双休，享受法定节假日，带薪年假、婚假、产假等3、节假日福利：重大节日礼品4、公司活动：经费支持，不定期组织文体活动、聚餐活动、团建活动5、职业发展：广阔的职业发展平台，双向晋升，学习培训6、工作时间：周一到周五，八小时工作制7、奖励：团队奖、年终大奖、公司提供的各种奖励8、公司平台大，起点高，晋升发展路线明确。职业前景：丰厚底薪+高提成+奖金，收入不封顶，工作时间自主，公司提供专业培训和升职通道。公司介绍：找原料网创始团队由前阿里、猫扑、YY直播、人人网等互联网一线团队和行业专业精英团队组成；作为国家高新技术企业，自2015年创立之初，在创始团队共同努力和行业的支持下，不断地优化平台和服务客户；并专注于互联网创新和跨界融合，利用“互联网+”技术和大数据为美业提供服务。找原料网目前拥有两大创新平台：原料达摩院、美业颜究院 。 “原料达摩院”已为下游工程师及采购提供专业的原料、配方、法规、市场趋势和优质供应商等价值信息及求购发布服务，赋能下游用户的研发打板和采购工作；并高效连接优质原料供应商，为广大供应商企业提供原料推广、营销策划及求购对接等服务；成为全行业高频粘性使用的高效工具。“美业颜究院”是美业领先的大数据定制服务平台，帮助品牌企业深刻洞察消费者和市场趋势变化、品牌和产品规划先机，并精准高效对接新渠道KOL资源；帮助工厂企业深刻洞见目标客户的价值偏好和产品理念，并为客户量身定制更有针对性的产品市场方案；帮助全行业提供更优质的供应链数据。运用互联网大数据驱动美业智能化升级，打造美业行业的ET大脑。找原料网，服务于行业、赋能于行业；通过运用互联网科技与新思维，高效连接行业上下游和实现资源共享；全心服务于美业，努力打造全球专业的美业产业链服务平台！
华强方特文化科技集团股份有限公司,深圳,本科/3-5年,5,15K-30K,大数据开发工程师,"岗位职责:岗位职责：1、负责基于Hadoop/Spark等生态系统的大数据平台的架构设计、技术选型、搭建、开发、管理、监控和性能调优，保证集群高效稳定运行，对数据应用提供数据存储、查询引擎、实时计算、元数据管理的架构设计；2、系统核心部分代码编写、指导和培训工程师、不断进行系统优化；3、跨团队/部门协作，系统分析并解决各类大数据平台相关的运行或数据问题；  任职资格:任职要求：1、有大型分布式系统设计经验，负责过海量数据平台上高可用、高性能分布式系统的架构设计；2、精通任意一门编程语言，对大数据基础架构和平台底层原理有深度理解和丰富开发经验, 对复杂系统的性能优化和稳定性提升有一线实战经验，具备相关产品（Hadoop、Hive、HBase、Kafka、MapReduce、Spark等）项目应用研发经验；3、深入理解Hadoop ecosystem，及各种大数据计算框架，熟练使用Storm、Hadoop、Spark、HDFS、Hbase、Kafka、ElasticSearch、Solr，有优化经验者优先；4、熟悉分布式存储和NoSQL数据库技术（如MonogoDB、Redis、Cassandra等），有实际生产项目应用经验；5、具有一定的项目规划和决策能力，善于捕捉业务需求、架构设计存在的问题，并给出有效的解决措施和方法。"
广州找原料电子商务有限公司,广州-白云区,中专/无经验,0,8K-10K,大数据服务顾问（双休+六险一金）,岗位职责：1、负责公司广告服务、数据服务等业务推广、开拓及销售，根据公司业务需求完成推广计划；2、按需求搜集客户信息，整理客户资源，针对性对客户进行有效营销；3、管理维护客户关系以及客户间的长期战略合作计划。4、关注行业市场信息，推进现有项目的执行。任职要求：1、有媒体、广告、会展专业优先；2、有野心，肯学习，无惧困难。3、良好的沟通表达能力，较强的说服能力。4、责任感强，具有团队合作精神。5、有社团管理经验的可立马上岗 职业计划：实习生——专员——高级专员——主管——经理——总监——合伙人职业前景：丰厚底薪+高提成+奖金，收入不封顶，工作时间自主，公司提供专业培训和升职通道。  公司福利：1、六险+公积金：入职后购买六险一金2、节假日：双休，享受法定节假日，带薪年假、婚假、产假等3、节假日福利：重大节日礼品4、公司活动：经费支持，不定期组织文体活动、聚餐活动、团建活动5、职业发展：广阔的职业发展平台，双向晋升，学习培训6、工作时间：周一到周五，八小时工作制7、奖励：团队奖、年终大奖、公司提供的各种奖励：8、公司平台大，起点高，晋升发展路线明确。职业前景：丰厚底薪+高提成+奖金，收入不封顶，工作时间自主，公司提供专业培训和升职通道。公司介绍：找原料网创始团队由前阿里、猫扑、YY直播、人人网等互联网一线团队和行业专业精英团队组成；作为国家高新技术企业，自2015年创立之初，在创始团队共同努力和行业的支持下，不断地优化平台和服务客户；并专注于互联网创新和跨界融合，利用“互联网+”技术和大数据为美业提供服务。找原料网目前拥有两大创新平台：原料达摩院、美业颜究院 。 “原料达摩院”已为下游工程师及采购提供专业的原料、配方、法规、市场趋势和优质供应商等价值信息及求购发布服务，赋能下游用户的研发打板和采购工作；并高效连接优质原料供应商，为广大供应商企业提供原料推广、营销策划及求购对接等服务；成为全行业高频粘性使用的高效工具。“美业颜究院”是美业领先的大数据定制服务平台，帮助品牌企业深刻洞察消费者和市场趋势变化、品牌和产品规划先机，并精准高效对接新渠道KOL资源；帮助工厂企业深刻洞见目标客户的价值偏好和产品理念，并为客户量身定制更有针对性的产品市场方案；帮助全行业提供更优质的供应链数据。运用互联网大数据驱动美业智能化升级，打造美业行业的ET大脑。找原料网，服务于行业、赋能于行业；通过运用互联网科技与新思维，高效连接行业上下游和实现资源共享；全心服务于美业，努力打造全球专业的美业产业链服务平台！
包头市包银消费金融股份有限公司,北京-朝阳区,本科/3-5年,12,10K-20K,大数据运维(J10182),岗位职责:1、负责公司大数据/Hadoop/hive/spark/hbase等运维保障； 2、负责内部大数据自动化运维以及数据化运营平台开发工作； 3、负责Hadoop/Hbase等系统的架构审核、业务监控、持续交付、应急响应、容量规划等； 4、深入理解数据平台架构，发现并解决重大故障及性能瓶颈，打造一流的数据平台；任职要求:1、全日制统招本科及以上学历，计算机或者相关专业优先；2、三年以上工作经验，深入理解linux系统，运维体系结构，精于容量规划、架构设计、性能优化；3、具备一定的开发能力，精通一门以上脚本语言；(shell/perl/python等)  4、熟悉hadoop、hbase、hive、spark、Kafka、hdfs、YARN、Flume等原理并具备安装，管理，配置，运维优化经验； 5、精通Hadoop.spark等相关生态圈系统的搭建.管理.配置优化，精通CDH版本优先。
广州找原料电子商务有限公司,广州-白云区,大专/1-3年,2,10K-15K,高级大数据服务经理（双休+六险一金）,岗位职责：1、负责公司广告服务、数据服务等业务推广、开拓及销售，根据公司业务需求完成推广计划；2、按需求搜集客户信息，整理客户资源，针对性对客户进行有效营销；3、管理维护客户关系以及客户间的长期战略合作计划。4、关注行业市场信息，推进现有项目的执行。任职要求：1、有媒体、广告、会展、美妆行业优先；2、有野心，肯学习，无惧困难。3、良好的沟通表达能力，较强的说服能力。4、责任感强，具有团队合作精神。5、有社团管理经验的可立马上岗 职业计划：实习生——专员——高级专员——主管——经理——总监——合伙人职业前景：丰厚底薪+高提成+奖金，收入不封顶，工作时间自主，公司提供专业培训和升职通道。  公司福利：1、六险+公积金：入职后购买六险一金2、节假日：双休，享受法定节假日，带薪年假、婚假、产假等3、节假日福利：重大节日礼品4、公司活动：经费支持，不定期组织文体活动、聚餐活动、团建活动5、职业发展：广阔的职业发展平台，双向晋升，学习培训6、工作时间：周一到周五，八小时工作制7、奖励：团队奖、年终大奖、公司提供的各种奖励8、公司平台大，起点高，晋升发展路线明确。职业前景：丰厚底薪+高提成+奖金，收入不封顶，工作时间自主，公司提供专业培训和升职通道。公司介绍：找原料网创始团队由前阿里、猫扑、YY直播、人人网等互联网一线团队和行业专业精英团队组成；作为国家高新技术企业，自2015年创立之初，在创始团队共同努力和行业的支持下，不断地优化平台和服务客户；并专注于互联网创新和跨界融合，利用“互联网+”技术和大数据为美业提供服务。找原料网目前拥有两大创新平台：原料达摩院、美业颜究院 。 “原料达摩院”已为下游工程师及采购提供专业的原料、配方、法规、市场趋势和优质供应商等价值信息及求购发布服务，赋能下游用户的研发打板和采购工作；并高效连接优质原料供应商，为广大供应商企业提供原料推广、营销策划及求购对接等服务；成为全行业高频粘性使用的高效工具。“美业颜究院”是美业领先的大数据定制服务平台，帮助品牌企业深刻洞察消费者和市场趋势变化、品牌和产品规划先机，并精准高效对接新渠道KOL资源；帮助工厂企业深刻洞见目标客户的价值偏好和产品理念，并为客户量身定制更有针对性的产品市场方案；帮助全行业提供更优质的供应链数据。运用互联网大数据驱动美业智能化升级，打造美业行业的ET大脑。找原料网，服务于行业、赋能于行业；通过运用互联网科技与新思维，高效连接行业上下游和实现资源共享；全心服务于美业，努力打造全球专业的美业产业链服务平台！
青岛左岸企业营销策划管理有限公司,青岛-市北区（新行政区）,大专/不限,0,6K-8K,大数据开发工程师（可实习）,公司从事大数据分析师工程师工作。第一年工资专科：6000-10000元/月、本科以上：8000-12000元/月；第二年工资专科：8000-12000元/月、本科以上：15000-20000元/月【岗位方向】：大数据分析师、BI需求工程师、DBA，数据库管理员。【工作内容】：1、支持公司各业务部门的数据需求，从数据仓库中提取数据并反馈给业务部门；2、抽象业务需求形成固化的报表，为公司凝练系统化的业务分析与决策支持系统；3、配合其他分析师一起构建并完善公司各业务数据分析体系，帮助公司进行业务监控并参与重大战略决策分析；4、负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位。【任职要求】：  1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；3.    拥有出色的沟通能力和学习能力；4.    拥有优秀的分析问题和解决问题能力；5.    具备勇于创新，乐于接受挑战，承受压力的良好素质；6.    性格积极开朗，坦诚正直。【温馨提示】：每日简历投递量非常大，欢迎主动与我联系。
惠州市德赛西威汽车电子股份有限公司,成都-高新区,本科/1-3年,6,10K-15K,大数据开发工程师（成都）,岗位职责:1.车联网大数据相关项目解决方案和产品输出；2.负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 3.负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑；4.负责大数据平台的性能监控和持续优化。任职要求:1.Java基础扎实，熟练掌握多线程、集合、缓存、序列化、io等技术；2.熟悉Hadoop，hive，python，HBase，Kafka，Spark，Storm，ES等开发技术，熟练掌握Hadoop、Hive、HBase和Spark的数据开发应用； 3.熟悉一种以上主流大数据相关编程语言，如Python、Scala等，熟悉多线程与网络编程；4.熟悉业内的常见数据应用，如推荐引擎、用户画像等，熟悉分布式理论与原理；5.具备主流关系型数据库及NoSQL数据相关开发能力；6.了解车联网行业者优先。
